"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 04:08:34 UTC 2023","Sun Sep 24 04:09:22 UTC 2023","48523","","My Profile: [FNN-668] Edit account details Negative","","My Profile: [FNN-668] Edit account details Negative","should edit account details without required fields","should edit account details without required fields",""
"passed","Sun Sep 24 04:29:57 UTC 2023","Sun Sep 24 04:31:35 UTC 2023","98520","","Freelancer search: [FNN-846] Invite to project","","Freelancer search: [FNN-846] Invite to project","should verify if the ""Assign project"" button is enable","should verify if the ""Assign project"" button is enable",""
"passed","Sun Sep 24 04:34:49 UTC 2023","Sun Sep 24 04:34:52 UTC 2023","2943","","CR: [FNN-751] Invite to the organization manually Negative","","CR: [FNN-751] Invite to the organization manually Negative","should invite manually to the organization without first step","should invite manually to the organization without first step",""
"failed","Sun Sep 24 04:43:11 UTC 2023","Sun Sep 24 04:43:16 UTC 2023","4904","","Search Project: [FNN-568] Project search","","Search Project: [FNN-568] Project search","should filter projects by Posted since Last 30 days","should filter projects by Posted since Last 30 days",""
"passed","Sun Sep 24 04:23:07 UTC 2023","Sun Sep 24 04:23:12 UTC 2023","5267","","My Network: [FNN-620] Invite manually via email and sms Negative","","My Network: [FNN-620] Invite manually via email and sms Negative","should invite manually via sms with invalid phone number","should invite manually via sms with invalid phone number",""
"passed","Sun Sep 24 04:09:42 UTC 2023","Sun Sep 24 04:10:22 UTC 2023","39217","","My Profile: [FNN-668] Edit account details Negative","","My Profile: [FNN-668] Edit account details Negative","should edit account details with invalid VAT number","should edit account details with invalid VAT number",""
"passed","Sun Sep 24 04:46:19 UTC 2023","Sun Sep 24 04:47:41 UTC 2023","82400","","CR: [FNN-750] Invite to the organization through search","","CR: [FNN-750] Invite to the organization through search","should invite freelancer","should invite freelancer",""
"passed","Sun Sep 24 04:23:03 UTC 2023","Sun Sep 24 04:23:07 UTC 2023","4220","","My Network: [FNN-620] Invite manually via email and sms Negative","","My Network: [FNN-620] Invite manually via email and sms Negative","should invite manually via sms without phone number","should invite manually via sms without phone number",""
"passed","Sun Sep 24 04:33:11 UTC 2023","Sun Sep 24 04:33:20 UTC 2023","9230","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR without repeat password","should subscribe as CR without repeat password",""
"passed","Sun Sep 24 04:09:33 UTC 2023","Sun Sep 24 04:11:13 UTC 2023","100052","","My Profile: [FNN-669] Edit account details Positive","","My Profile: [FNN-669] Edit account details Positive","should edit freelancer account details with valid information","should edit freelancer account details with valid information",""
"passed","Sun Sep 24 04:18:04 UTC 2023","Sun Sep 24 04:18:26 UTC 2023","22318","","Settings: [FNN-672] Change email address Negative","","Settings: [FNN-672] Change email address Negative","should change email address without password","should change email address without password",""
"passed","Sun Sep 24 04:42:28 UTC 2023","Sun Sep 24 04:42:36 UTC 2023","8732","","Post Project: [FNN-588] Post project without account Negative","","Post Project: [FNN-588] Post project without account Negative","should post project without password","should post project without password",""
"passed","Sun Sep 24 04:16:25 UTC 2023","Sun Sep 24 04:16:33 UTC 2023","8299","","Post Project: [FNN-649] Post project with account Negative","","Post Project: [FNN-649] Post project with account Negative","should post project with short Title","should post project with short Title",""
