"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Apr 16 07:27:26 UTC 2024","Tue Apr 16 07:28:15 UTC 2024","48611","","CR","","CR","[FNN-2405] Check the invited user is in the organization","[FNN-2405] Check the invited user is in the organization",""
"passed","Tue Apr 16 07:02:29 UTC 2024","Tue Apr 16 07:02:36 UTC 2024","6737","","My Transactions: [FNN-738] Milestones project: Add milestone. Negative","","My Transactions: [FNN-738] Milestones project: Add milestone. Negative","should add milestone without Delivery date","should add milestone without Delivery date",""
"skipped","Tue Apr 16 07:24:55 UTC 2024","Tue Apr 16 07:24:55 UTC 2024","20","","My Transactions: [FNN-1431] Hourly project: In retrospect. Positive","","My Transactions: [FNN-1431] Hourly project: In retrospect. Positive","should accept the project and add hours","should accept the project and add hours",""
"failed","Tue Apr 16 07:00:39 UTC 2024","Tue Apr 16 07:01:06 UTC 2024","27507","","My Transactions: [FNN-737] Hourly project: Start project. Negative","","My Transactions: [FNN-737] Hourly project: Start project. Negative","should start project with Hourly rate rate than 25","should start project with Hourly rate rate than 25",""
"passed","Tue Apr 16 07:00:09 UTC 2024","Tue Apr 16 07:00:25 UTC 2024","15903","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR with taken email","should subscribe as CR with taken email",""
"passed","Tue Apr 16 06:15:30 UTC 2024","Tue Apr 16 06:16:09 UTC 2024","39077","","My Profile: [FNN-690] Add resume Positive","","My Profile: [FNN-690] Add resume Positive","should check the attached part of the resume on the Profile page","should check the attached part of the resume on the Profile page",""
"failed","Tue Apr 16 07:24:54 UTC 2024","Tue Apr 16 07:30:40 UTC 2024","346178","","My Transactions: [FNN-710] Milestones project: In advance. Positive","","My Transactions: [FNN-710] Milestones project: In advance. Positive","should start project with milestone","should start project with milestone",""
"passed","Tue Apr 16 06:07:17 UTC 2024","Tue Apr 16 06:08:08 UTC 2024","51262","","Login: [FNN-563] Log in from the header Negative","","Login: [FNN-563] Log in from the header Negative","should log in with valid email and invalid password","should log in with valid email and invalid password",""
"skipped","Tue Apr 16 07:21:29 UTC 2024","Tue Apr 16 07:22:33 UTC 2024","63416","","Freelancer search: [FNN-846] Invite to project","","Freelancer search: [FNN-846] Invite to project","should verify if the ""Assign project"" button is enable","should verify if the ""Assign project"" button is enable",""
"skipped","Tue Apr 16 07:24:49 UTC 2024","Tue Apr 16 07:24:49 UTC 2024","0","","My Transactions: [FNN-1430] Milestones project: In retrospect. Positive","","My Transactions: [FNN-1430] Milestones project: In retrospect. Positive","should verify that the money paid","should verify that the money paid",""
"passed","Tue Apr 16 06:35:25 UTC 2024","Tue Apr 16 06:35:30 UTC 2024","4976","","My Network: [FNN-620] Invite manually via email and sms Negative","","My Network: [FNN-620] Invite manually via email and sms Negative","should invite manually via sms without phone number","should invite manually via sms without phone number",""
"passed","Tue Apr 16 06:26:47 UTC 2024","Tue Apr 16 06:27:28 UTC 2024","40964","","Settings: [FNN-675] Change password Negative","","Settings: [FNN-675] Change password Negative","should change password without new and repeat password","should change password without new and repeat password",""
"failed","Tue Apr 16 07:07:51 UTC 2024","Tue Apr 16 07:08:12 UTC 2024","21925","","My Profile: [FNN-699] Request reference Positive","","My Profile: [FNN-699] Request reference Positive","should validate reference","should validate reference",""
"passed","Tue Apr 16 07:01:39 UTC 2024","Tue Apr 16 07:01:51 UTC 2024","11930","","CR: [FNN-744] CR Subscribe Negative","","CR: [FNN-744] CR Subscribe Negative","should subscribe as CR with invalid repeat password","should subscribe as CR with invalid repeat password",""
"passed","Tue Apr 16 06:34:13 UTC 2024","Tue Apr 16 06:35:00 UTC 2024","47415","","My Network: [FNN-620] Invite manually via email and sms Negative","","My Network: [FNN-620] Invite manually via email and sms Negative","should invite manually via email without email","should invite manually via email without email",""
"failed","Tue Apr 16 07:06:23 UTC 2024","Tue Apr 16 07:06:28 UTC 2024","5118","","Post Project: [FNN-650] Post project without account Positive","","Post Project: [FNN-650] Post project without account Positive","should verify that the user received a verify email letter","should verify that the user received a verify email letter",""
"passed","Tue Apr 16 06:09:48 UTC 2024","Tue Apr 16 06:09:59 UTC 2024","10489","","Reset password: [FNN-655] Reset password Negative","","Reset password: [FNN-655] Reset password Negative","should reset password without data","should reset password without data",""
